测试套/软件包名,测试用例名,状态,日志文件,原因
ebtables,oe_test_service_ebtables,fail_x86NotTest,./mugen-riscv/logs/ebtables/oe_test_service_ebtables/2024-03-05-23:27:01.log,
zookeeper,oe_test_zookeeper,fail_x86NotTest,./mugen-riscv/logs/zookeeper/oe_test_zookeeper/2024-03-05-22:56:44.log,
python3-xgboost,oe_test_python3-xgboost,fail_x86NotTest,./mugen-riscv/logs/python3-xgboost/oe_test_python3-xgboost/2024-03-06-03:11:31.log,
nodejs-jsonpointer,oe_test_nodejs-jsonpointer,fail_x86NotTest,./mugen-riscv/logs/nodejs-jsonpointer/oe_test_nodejs-jsonpointer/2024-03-06-01:59:49.log,None
libusb,oe_test_libusb,fail_x86NotTest,./mugen-riscv/logs/libusb/oe_test_libusb/2024-03-06-02:45:08.log,
fcgi,oe_test_fastcgi,fail_x86NotTest,./mugen-riscv/logs/fcgi/oe_test_fastcgi/2024-03-05-22:55:00.log,
dnssec-trigger,oe_test_dnssec-trigger-control_02,fail_x86NotTest,./mugen-riscv/logs/dnssec-trigger/oe_test_dnssec-trigger-control_02/2024-03-05-13:44:42.log,
,oe_test_dnssec-triggerd,fail_x86NotTest,./mugen-riscv/logs/dnssec-trigger/oe_test_dnssec-triggerd/2024-03-05-13:34:20.log,
,oe_test_dnssec-trigger-control_03,fail_x86NotTest,./mugen-riscv/logs/dnssec-trigger/oe_test_dnssec-trigger-control_03/2024-03-05-13:47:40.log,
,oe_test_dnssec-trigger-control-setup,fail_x86NotTest,./mugen-riscv/logs/dnssec-trigger/oe_test_dnssec-trigger-control-setup/2024-03-05-13:37:42.log,
,oe_test_service_dnssec-triggerd,fail_x86NotTest,./mugen-riscv/logs/dnssec-trigger/oe_test_service_dnssec-triggerd/2024-03-05-13:28:54.log,
,oe_test_dnssec-trigger-control_04,fail_x86NotTest,./mugen-riscv/logs/dnssec-trigger/oe_test_dnssec-trigger-control_04/2024-03-05-13:50:51.log,
,oe_test_dnssec-trigger-control_01,fail_x86NotTest,./mugen-riscv/logs/dnssec-trigger/oe_test_dnssec-trigger-control_01/2024-03-05-13:40:43.log,
fio,oe_test_fio_004,fail_x86NotTest,./mugen-riscv/logs/fio/oe_test_fio_004/2024-03-05-16:56:21.log,None
,oe_test_fio_003,fail_x86NotTest,./mugen-riscv/logs/fio/oe_test_fio_003/2024-03-05-16:52:22.log,None
,oe_test_fio_002,fail_x86NotTest,./mugen-riscv/logs/fio/oe_test_fio_002/2024-03-05-16:48:24.log,None
,oe_test_fio_001,fail_x86NotTest,./mugen-riscv/logs/fio/oe_test_fio_001/2024-03-05-16:43:13.log,None
ganglia,oe_test_service_gmond,fail_x86NotTest,./mugen-riscv/logs/ganglia/oe_test_service_gmond/2024-03-05-21:09:52.log,
,oe_test_service_gmetad,fail_x86NotTest,./mugen-riscv/logs/ganglia/oe_test_service_gmetad/2024-03-05-21:03:26.log,
postfix,oe_test_postfix_configuration,fail_x86NotTest,./mugen-riscv/logs/postfix/oe_test_postfix_configuration/2024-03-05-21:48:19.log,
,oe_test_service_postfix,fail_x86NotTest,./mugen-riscv/logs/postfix/oe_test_service_postfix/2024-03-05-21:41:15.log,
gnome-shell,oe_test_gnome-shell,fail_x86NotTest,./mugen-riscv/logs/gnome-shell/oe_test_gnome-shell/2024-03-05-23:36:39.log,
libwbxml,oe_test_libwbxml_wbxml2xml,fail_x86NotTest,./mugen-riscv/logs/libwbxml/oe_test_libwbxml_wbxml2xml/2024-03-05-21:20:15.log,
