测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_xmlsec,fail,./mugen-riscv/logs/os-basic/oe_test_xmlsec/2023-04-28-10:22:18.log,镜像没有预装测试所需的 kernel-headers
,oe_test_xzcmp,fail,./mugen-riscv/logs/os-basic/oe_test_xzcmp/2023-04-28-11:10:16.log,测试套问题，脚本需要测试环境默认语言为中文
,oe_test_zlib,fail,./mugen-riscv/logs/os-basic/oe_test_zlib/2023-04-28-10:10:25.log,镜像没有预装测试所需的 kernel-headers
AT,oe_test_CPUinfo_001,fail,./mugen-riscv/logs/AT/oe_test_CPUinfo_001/2023-05-22-00:17:16.log,file missing/timeout
,oe_test_MEMinfo_001,fail,./mugen-riscv/logs/AT/oe_test_MEMinfo_001/2023-04-29-03:25:51.log,file missing
,oe_test_OVS,fail,./mugen-riscv/logs/AT/oe_test_OVS/2023-04-29-00:36:08.log,timeout
,oe_test_arping,fail,./mugen-riscv/logs/AT/oe_test_arping/2023-04-29-04:35:42.log,
,oe_test_criu,fail,./mugen-riscv/logs/AT/oe_test_criu/2023-04-29-03:07:12.log,file missing
,oe_test_docker_attach_001,fail,./mugen-riscv/logs/AT/oe_test_docker_attach_001/2023-04-29-01:22:08.log,Broken testcase
,oe_test_docker_commit_export_import_001,fail,./mugen-riscv/logs/AT/oe_test_docker_commit_export_import_001/2023-04-29-01:17:03.log,Broken testcase
,oe_test_docker_cp_001,fail,./mugen-riscv/logs/AT/oe_test_docker_cp_001/2023-04-29-01:06:17.log,Broken testcase
,oe_test_docker_create_001,fail,./mugen-riscv/logs/AT/oe_test_docker_create_001/2023-04-29-01:34:50.log,Broken testcase
,oe_test_docker_create_002,fail,./mugen-riscv/logs/AT/oe_test_docker_create_002/2023-04-29-01:19:29.log,Broken testcase
,oe_test_docker_create_003,fail,./mugen-riscv/logs/AT/oe_test_docker_create_003/2023-04-29-01:32:17.log,Broken testcase
,oe_test_docker_exec_cmd_001,fail,./mugen-riscv/logs/AT/oe_test_docker_exec_cmd_001/2023-04-29-01:29:43.log,Broken testcase
,oe_test_docker_image_history_001,fail,./mugen-riscv/logs/AT/oe_test_docker_image_history_001/2023-04-29-01:14:11.log,Broken testcase
,oe_test_docker_rename_pause_resume_001,fail,./mugen-riscv/logs/AT/oe_test_docker_rename_pause_resume_001/2023-04-29-01:08:45.log,Broken testcase
,oe_test_docker_save_load_001,fail,./mugen-riscv/logs/AT/oe_test_docker_save_load_001/2023-04-29-01:37:31.log,Broken testcase
,oe_test_docker_search_info_001,fail,./mugen-riscv/logs/AT/oe_test_docker_search_info_001/2023-04-29-01:11:26.log,Broken testcase
,oe_test_docker_start_stop_delete_001,fail,./mugen-riscv/logs/AT/oe_test_docker_start_stop_delete_001/2023-04-29-01:24:31.log,docker path error
,oe_test_docker_tag_001,fail,./mugen-riscv/logs/AT/oe_test_docker_tag_001/2023-04-29-01:27:12.log,Broken testcase
,oe_test_iSula_attach_rename_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_attach_rename_001/2023-04-29-02:14:25.log,docker镜像地址错误
,oe_test_iSula_cp_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_cp_001/2023-04-29-02:18:34.log,docker镜像地址错误
,oe_test_iSula_create_start_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_create_start_001/2023-04-29-02:20:38.log,docker镜像地址错误
,oe_test_iSula_exec_cmd_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_exec_cmd_001/2023-04-29-02:26:49.log,Broken testcase
,oe_test_iSula_export_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_export_001/2023-04-29-02:16:30.log,docker镜像地址错误
,oe_test_iSula_mkdir100_001,fail,./mugen-riscv/logs/AT/oe_test_iSula_mkdir100_001/2023-04-29-02:30:51.log,docker镜像地址错误
