测试套/软件包名,测试用例名,状态,日志文件,原因
cups-filters,oe_test_service_cups-browsed,success,./mugen-riscv/logs/cups-filters/oe_test_service_cups-browsed/2023-05-25-19:01:30.log,None
cups,oe_test_service_cups,success,./mugen-riscv/logs/cups/oe_test_service_cups/2023-05-25-18:44:49.log,None
,oe_test_socket_cups-lpd,success,./mugen-riscv/logs/cups/oe_test_socket_cups-lpd/2023-05-25-18:49:40.log,None
,oe_test_socket_cups,success,./mugen-riscv/logs/cups/oe_test_socket_cups/2023-05-25-18:54:22.log,None
cyrus-sasl,oe_test_service_saslauthd,success,./mugen-riscv/logs/cyrus-sasl/oe_test_service_saslauthd/2023-05-25-19:16:48.log,None
dbus,oe_test_service_dbus,success,./mugen-riscv/logs/dbus/oe_test_service_dbus/2023-05-25-16_41_39.log,None
,oe_test_socket_dbus,success,./mugen-riscv/logs/dbus/oe_test_socket_dbus/2023-05-25-16_42_37.log,None
djvulibre,oe_test_djvulibre_01,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_01/2023-05-25-22:05:47.log,None
,oe_test_djvulibre_02,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_02/2023-05-25-22:11:01.log,None
,oe_test_djvulibre_03,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_03/2023-05-25-22:15:59.log,None
,oe_test_djvulibre_04,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_04/2023-05-25-22:18:13.log,None
,oe_test_djvulibre_05,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_05/2023-05-25-22:20:17.log,None
dkms,oe_test_service_dkms,success,./mugen-riscv/logs/dkms/oe_test_service_dkms/2023-05-25-22:24:53.log,None
dnsmasq,oe_test_service_dnsmasq,success,./mugen-riscv/logs/dnsmasq/oe_test_service_dnsmasq/2023-05-25-22:34:07.log,None
dos2unix,oe_test_dos2unix,success,./mugen-riscv/logs/dos2unix/oe_test_dos2unix/2023-05-25-23:40:57.log,None
e2fsprogs,oe_test_service_e2scrub_all,success,./mugen-riscv/logs/e2fsprogs/oe_test_service_e2scrub_all/2023-05-25-16_44_42.log,None
,oe_test_service_e2scrub_reap,success,./mugen-riscv/logs/e2fsprogs/oe_test_service_e2scrub_reap/2023-05-25-16_45_06.log,None
fakeroot,oe_test_fakeroot_base,success,./mugen-riscv/logs/fakeroot/oe_test_fakeroot_base/2023-05-26-13:41:21.log,None
,oe_test_fakeroot_faked,success,./mugen-riscv/logs/fakeroot/oe_test_fakeroot_faked/2023-05-26-13:43:27.log,None
