测试套/软件包名,测试用例名,状态,日志文件,原因
gdbm,oe_test_gdbm_02,success,./mugen-riscv/logs/gdbm/oe_test_gdbm_02/2023-09-12-15:43:02.log,None
,oe_test_gdbm_01,success,./mugen-riscv/logs/gdbm/oe_test_gdbm_01/2023-09-12-15:42:54.log,None
libaec,oe_test_libaec_aec,success,./mugen-riscv/logs/libaec/oe_test_libaec_aec/2023-09-12-18:01:02.log,None
lksctp-tools,oe_test_lksctp-tools_sctp_test,success,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_sctp_test/2023-09-12-13:34:32.log,None
,oe_test_lksctp-tools_sctp_darn_02,success,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_sctp_darn_02/2023-09-12-13:33:27.log,None
,oe_test_lksctp-tools_sctp_status,success,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_sctp_status/2023-09-12-13:33:54.log,None
,oe_test_lksctp-tools_checksctp,success,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_checksctp/2023-09-12-13:32:14.log,None
,oe_test_lksctp-tools_sctp_darn_01,success,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_sctp_darn_01/2023-09-12-13:32:38.log,None
lxcfs,oe_test_service_lxcfs,success,./mugen-riscv/logs/lxcfs/oe_test_service_lxcfs/2023-09-12-16:24:26.log,None
flatpak,oe_test_service_flatpak-system-helper,success,./mugen-riscv/logs/flatpak/oe_test_service_flatpak-system-helper/2023-09-12-16:07:13.log,None
glib2,oe_test_glib2,success,./mugen-riscv/logs/glib2/oe_test_glib2/2023-09-12-16:12:41.log,None
iprutils,oe_test_target_iprutils,success,./mugen-riscv/logs/iprutils/oe_test_target_iprutils/2023-09-12-14:11:10.log,None
,oe_test_service_iprupdate,success,./mugen-riscv/logs/iprutils/oe_test_service_iprupdate/2023-09-12-14:10:36.log,None
,oe_test_service_iprdump,success,./mugen-riscv/logs/iprutils/oe_test_service_iprdump/2023-09-12-14:09:28.log,None
,oe_test_service_iprinit,success,./mugen-riscv/logs/iprutils/oe_test_service_iprinit/2023-09-12-14:10:03.log,None
poppler,oe_test_poppler,success,./mugen-riscv/logs/poppler/oe_test_poppler/2023-09-12-16:37:08.log,None
cracklib,oe_test_cracklib,success,./mugen-riscv/logs/cracklib/oe_test_cracklib/2023-09-12-15:57:28.log,None
vsftpd,oe_test_service_vsftpd,success,./mugen-riscv/logs/vsftpd/oe_test_service_vsftpd/2023-09-12-15:39:31.log,None
,oe_test_target_vsftpd,success,./mugen-riscv/logs/vsftpd/oe_test_target_vsftpd/2023-09-12-15:40:13.log,None
fakeroot,oe_test_fakeroot_faked,success,./mugen-riscv/logs/fakeroot/oe_test_fakeroot_faked/2023-09-12-15:24:17.log,None
,oe_test_fakeroot_base,success,./mugen-riscv/logs/fakeroot/oe_test_fakeroot_base/2023-09-12-15:23:57.log,None
openblas,oe_test_openblas,success,./mugen-riscv/logs/openblas/oe_test_openblas/2023-09-12-16:32:15.log,None
binutils,oe_test_binutils_addr2line,success,./mugen-riscv/logs/binutils/oe_test_binutils_addr2line/2023-09-12-12:50:50.log,None
,oe_test_binutils_objcopy,success,./mugen-riscv/logs/binutils/oe_test_binutils_objcopy/2023-09-12-12:46:56.log,None
,oe_test_binutils_ar,success,./mugen-riscv/logs/binutils/oe_test_binutils_ar/2023-09-12-12:52:07.log,None
,oe_test_binutils_nm,success,./mugen-riscv/logs/binutils/oe_test_binutils_nm/2023-09-12-12:52:29.log,None
,oe_test_binutils_strip,success,./mugen-riscv/logs/binutils/oe_test_binutils_strip/2023-09-12-12:49:33.log,None
,oe_test_binutils_size,success,./mugen-riscv/logs/binutils/oe_test_binutils_size/2023-09-12-12:48:18.log,None
,oe_test_binutils_readelf,success,./mugen-riscv/logs/binutils/oe_test_binutils_readelf/2023-09-12-12:54:04.log,None
,oe_test_binutils_objdump,success,./mugen-riscv/logs/binutils/oe_test_binutils_objdump/2023-09-12-12:52:51.log,None
python-rtslib,oe_test_service_target,success,./mugen-riscv/logs/python-rtslib/oe_test_service_target/2023-09-12-16:39:28.log,None
yajl,oe_test_yajl,x86 fail,./mugen-riscv/logs/yajl/oe_test_yajl/2023-09-12-17:55:04.log,x86 fail
os-basic,oe_test_server_openssh_key,success,./mugen-riscv/logs/os-basic/oe_test_server_openssh_key/2023-09-13-13:13:52.log,None
,oe_test_chrony_Manuall,success,./mugen-riscv/logs/os-basic/oe_test_chrony_Manuall/2023-09-13-14:08:25.log,None
,oe_test_bzcmp,success,./mugen-riscv/logs/os-basic/oe_test_bzcmp/2023-09-13-11:15:21.log,None
,oe_test_net_scriprts,success,./mugen-riscv/logs/os-basic/oe_test_net_scriprts/2023-09-13-13:29:19.log,None
,oe_test_whereis,success,./mugen-riscv/logs/os-basic/oe_test_whereis/2023-09-13-13:56:05.log,None
,oe_test_history,success,./mugen-riscv/logs/os-basic/oe_test_history/2023-09-13-12:04:50.log,None
,oe_test_server_openssh_secure,success,./mugen-riscv/logs/os-basic/oe_test_server_openssh_secure/2023-09-13-12:30:18.log,None
,oe_test_comm,success,./mugen-riscv/logs/os-basic/oe_test_comm/2023-09-13-12:33:28.log,None
,oe_test_tcl,success,./mugen-riscv/logs/os-basic/oe_test_tcl/2023-09-13-12:10:32.log,None
,oe_test_diff3,success,./mugen-riscv/logs/os-basic/oe_test_diff3/2023-09-13-11:01:00.log,None
,oe_test_server_openssh_restart,success,./mugen-riscv/logs/os-basic/oe_test_server_openssh_restart/2023-09-13-13:44:30.log,None
,oe_test_power_powertop_startup,success,./mugen-riscv/logs/os-basic/oe_test_power_powertop_startup/2023-09-13-12:26:52.log,None
,oe_test_fold,success,./mugen-riscv/logs/os-basic/oe_test_fold/2023-09-13-12:01:43.log,None
,oe_test_server_mariadb_dump,success,./mugen-riscv/logs/os-basic/oe_test_server_mariadb_dump/2023-09-13-12:19:40.log,None
,oe_test_basic_modify_user,success,./mugen-riscv/logs/os-basic/oe_test_basic_modify_user/2023-09-13-11:00:21.log,None
,oe_test_uniq,success,./mugen-riscv/logs/os-basic/oe_test_uniq/2023-09-13-13:17:39.log,None
,oe_test_envsubst,success,./mugen-riscv/logs/os-basic/oe_test_envsubst/2023-09-13-12:29:45.log,None
,oe_test_groupdel,success,./mugen-riscv/logs/os-basic/oe_test_groupdel/2023-09-13-13:24:57.log,None
,oe_test_server_squid_ip,success,./mugen-riscv/logs/os-basic/oe_test_server_squid_ip/2023-09-13-12:23:51.log,None
